Source,Enseigne,Adresse_postale,Code_postal,Commune,Telephone,Note_globale,Nombre_d_avis,Horaires_lundi,Horaires_mardi,Horaires_mercredi,Horaires_jeudi,Horaires_vendredi,Horaires_samedi,Horaires_dimanche,Prestations_Boissons,Prestations_Burgers,Prestations_Desserts,Prestations_Grillades,Prestations_Kebab,Prestations_Lahmacun/Pide,Prestations_Pizzas,Prestations_Plats/Assiettes,Prestations_Salades,Prestations_Sandwichs,Services_Accès_handicapés,Services_Broche_faite_Maison,Services_Carte_de_fidélité,Services_Certificat_halal,Services_Frîtes_fraiches_Maison,Services_Groupes_acceptés,Services_Menu_enfant,Services_Pain_fait_Maison,Services_Parking,Services_Réduction_étudiants,Services_Restauration_à_emporter,Services_Restauration_sur_place,Services_Salle_avec_télévision,Services_Salle_climatisée,Services_Service_de_livraison,Services_Terrasse,Services_Thé_offert,Services_Wifi_gratuit,Tarifs,Note_Accueil,Note_Hygiene,Note_Fraicheur,Note_Crudites,Note_Sauces,Note_Viandes,Note_Frites,Note_Pain,Note_Quantite,Note_Qualiteprix,longitude,latitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
https://www.kebab-frites.com/kebab/paris-istanbul-paris-18.html,Paris Istanbul,47 rue de Clignancourt,75018,Paris 18,,5.7,1,n.c,n.c,n.c,n.c,n.c,n.c,n.c,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,Kebab Kebab + Frites 5.00€ ,6,5,5,6,6,6,5,6,6,6,2.347497,48.886652,0.906641515151515,0.6863025720620842,47 Rue de Clignancourt 75018 Paris,housenumber,75118_2118_00047,47,47 Rue de Clignancourt,Rue de Clignancourt,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
https://www.kebab-frites.com/kebab/chez-ebru-paris-18.html,Chez Ebru,54 Rue Ordener,75018,Paris 18,,5,1,n.c,n.c,n.c,n.c,n.c,n.c,n.c,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,Aucun tarif renseigné. ,4,5,6,6,5,5,5,5,3,6,2.348142,48.89193,0.8862546753246754,0.5869366985645933,54 Rue Ordener 75018 Paris,housenumber,75118_6918_00054,54,54 Rue Ordener,Rue Ordener,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
https://www.kebab-frites.com/kebab/azur-galatasaray-paris-18.html,Azur Galatasaray,76 boulevard ornano,75018,Paris 18,01 55 79 93 49,3.9,2,n.c,n.c,n.c,n.c,n.c,n.c,n.c,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,Aucun tarif renseigné. ,3,4,3,3,3,4,5,4,3,4,2.345502,48.89689,0.8970035537190082,0.5151663636363636,76 Boulevard Ornano 75018 Paris,housenumber,75118_6946_00076,76,76 Boulevard Ornano,Boulevard Ornano,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
https://www.kebab-frites.com/kebab/mac-beni-paris-18.html,Mac Beni,16 place de la chapelle,75018,Paris 18,,3,7,n.c,n.c,n.c,n.c,n.c,n.c,n.c,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,OUI,NON,NON,NON,Kebab Kebab + Frites 5.00€ ,2,2,3,2,3,2,1,3,4,3,2.360027,48.884976,0.8999808353808354,0.732020909090909,16 Place de la Chapelle 75018 Paris,housenumber,75118_1768_00016,16,16 Place de la Chapelle,Place de la Chapelle,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
https://www.kebab-frites.com/kebab/chickito-paris-18.html,Chickito,98 Rue de Clignancourt,75018,Paris 18,,4.3,1,n.c,n.c,n.c,n.c,n.c,n.c,n.c,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,Aucun tarif renseigné. ,3,5,3,4,4,4,4,5,6,5,2.348789,48.891455,0.906641515151515,0.6863025720620842,98 Rue de Clignancourt 75018 Paris,housenumber,75118_2118_00098,98,98 Rue de Clignancourt,Rue de Clignancourt,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
https://www.kebab-frites.com/kebab/chez-salem---boulangerie-sandwich-paris-18.html,Kebab comtoise sarl,2 Rue Blumberg,90300,Valdoie,03 84 90 27 07,0,0,n.c,n.c,n.c,n.c,n.c,n.c,n.c,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,Aucun tarif renseigné. ,0,0,0,0,0,0,0,0,0,0,6.842591,47.664808,0.7987866666666666,,Rue de Blumberg 90300 Valdoie,street,90099_0044,,Rue de Blumberg,Rue de Blumberg,90300,Valdoie,"90, Territoire de Belfort, Bourgogne-Franche-Comté",90099,,,,ok
https://www.kebab-frites.com/kebab/friterie-des-abbesses-paris-18.html,Friterie des abbesses,63 Rue des Abbesses,75018,Paris 18,01 42 57 96 77,4,1,n.c,n.c,n.c,n.c,n.c,n.c,n.c,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,Kebab Kebab + Frites 4.80€ ,5,3,5,4,3,4,4,4,4,4,2.335074,48.885654,0.8953599173553718,0.6717206142506141,63 Rue des Abbesses 75018 Paris,housenumber,75118_0020_00063,63,63 Rue des Abbesses,Rue des Abbesses,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
https://www.kebab-frites.com/kebab/le-giros-paris-18.html,Le Giros,57 Rue Lamarck,75018,Paris 18,,3.4,3,n.c,n.c,n.c,n.c,n.c,n.c,n.c,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,Kebab Kebab + Frites 5.00€ ,3,3,3,4,4,4,3,3,2,3,2.336269,48.890221,0.7880693506493507,0.6105705509641873,Rue Lamarck 75018 Paris,street,75118_5288,,Rue Lamarck,Rue Lamarck,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
https://www.kebab-frites.com/kebab/chilane-paris-18.html,Chilane,179 Rue Ordener,75018,Paris 18,,3.4,2,n.c,n.c,n.c,n.c,n.c,n.c,n.c,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,Kebab Kebab + Frites 5.00€ ,2,3,3,3,3,3,2,3,2,3,2.335899,48.893594,0.8896133855799372,0.5734414219114219,179 Rue Ordener 75018 Paris,housenumber,75118_6918_00179,179,179 Rue Ordener,Rue Ordener,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
https://www.kebab-frites.com/kebab/ankara-paris-18.html,Ankara,29 boulevard ornano,75018,Paris 18,01 42 52 71 45,4.4,3,n.c,n.c,n.c,n.c,n.c,n.c,n.c,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,Kebab Kebab + Frites 5.00€ ,4,3,4,4,4,4,4,4,5,4,2.347399,48.894028,0.8970035537190082,0.5151663636363636,29 Boulevard Ornano 75018 Paris,housenumber,75118_6946_00029,29,29 Boulevard Ornano,Boulevard Ornano,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
