"Source","Enseigne","Adresse_postale","Code_postal","Commune","Telephone","Note_globale","Nombre_d_avis","Horaires_lundi","Horaires_mardi","Horaires_mercredi","Horaires_jeudi","Horaires_vendredi","Horaires_samedi","Horaires_dimanche","Prestations_Boissons","Prestations_Burgers","Prestations_Desserts","Prestations_Grillades","Prestations_Kebab","Prestations_Lahmacun/Pide","Prestations_Pizzas","Prestations_Plats/Assiettes","Prestations_Salades","Prestations_Sandwichs","Services_Accès_handicapés","Services_Broche_faite_Maison","Services_Carte_de_fidélité","Services_Certificat_halal","Services_Frîtes_fraiches_Maison","Services_Groupes_acceptés","Services_Menu_enfant","Services_Pain_fait_Maison","Services_Parking","Services_Réduction_étudiants","Services_Restauration_à_emporter","Services_Restauration_sur_place","Services_Salle_avec_télévision","Services_Salle_climatisée","Services_Service_de_livraison","Services_Terrasse","Services_Thé_offert","Services_Wifi_gratuit","Tarifs","Note_Accueil","Note_Hygiene","Note_Fraicheur","Note_Crudites","Note_Sauces","Note_Viandes","Note_Frites","Note_Pain","Note_Quantite","Note_Qualiteprix","BD_Adresse_Longitude","BD_Adresse_Latitude","BD_Adresse_Score"
"https://www.kebab-frites.com/kebab/good-time-resto-paris-14.html","Good Time Resto","29 rue de la Gaité",75014.,"Paris 14","01 43 20 35 56",4.2,3.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.00€ ",3.,4.,4.,4.,4.,4.,4.,4.,5.,4.,2.323566,48.839538,0.8901527272727272
"https://www.kebab-frites.com/kebab/fournil-st-jacques-paris-14.html","Fournil St Jacques","11 rue de la Tombe Issoire",75014.,"Paris 14","",4.6,5.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.50€ ",4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,2.335768,48.832517,0.9132509090909091
"https://www.kebab-frites.com/kebab/kiziroglu-le-grand-pacha-paris-14.html","Kiziroglu Le Grand Pacha","201 Bis Rue Raymond Losserand",75014.,"Paris 14","",4.4,2.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.00€ ",4.,5.,3.,4.,4.,4.,3.,4.,5.,4.,2.308109,48.828903,0.7809197979797979
"https://www.kebab-frites.com/kebab/la-palmeraie-paris-14.html","La Palmeraie","11 rue de la Gaité",75014.,"Paris 14","",3.7,6.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.50€ ",3.,3.,3.,4.,4.,3.,4.,4.,3.,3.,2.324242,48.840365,0.8901527272727272
"https://www.kebab-frites.com/kebab/alesia-food-paris-14.html","Alésia Food","223 rue d'Alésia",75014.,"Paris 14","01 45 39 28 02",3.8,6.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.20€ ",3.,3.,3.,4.,4.,3.,4.,3.,3.,4.,2.312875,48.83211,0.8921572727272727
"https://www.kebab-frites.com/kebab/constantinople-paris-14.html","Constantinople","141 bis rue d'Alésia",75014.,"Paris 14","",4.4,2.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.50€ ",4.,4.,5.,4.,5.,4.,4.,5.,4.,5.,2.320957,48.829798,0.7305411111111111
"https://www.kebab-frites.com/kebab/matisse-paris-14.html","Matisse","60 Avenue Du Général Leclerc",75014.,"Paris 14","01 45 42 54 99",5.3,5.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","OUI","OUI","OUI","OUI","OUI","NON","NON","NON","OUI","OUI","OUI","NON","OUI","OUI","NON","OUI","OUI","OUI","NON","OUI","OUI","OUI","NON","OUI","NON","OUI","OUI","OUI","Kebab Kebab + Frites 5.00€ ",5.,5.,5.,5.,5.,5.,5.,5.,5.,5.,2.328413,48.829942,0.9156894805194804
"https://www.kebab-frites.com/kebab/royal-paris-14.html","Royal","30 rue du faubourg Saint Jacques",75014.,"Paris 14","",4.,5.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.00€ ",4.,3.,4.,5.,3.,3.,3.,4.,4.,4.,2.338343,48.836983,0.9158932806324112
"https://www.kebab-frites.com/kebab/croq-chateau-paris-14.html","Croq Chateau","139 rue du chateau",75014.,"Paris 14","",3.6,3.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.80€ ",4.,3.,3.,3.,3.,2.,3.,4.,4.,4.,2.321485,48.834602,0.8945981818181817
"https://www.kebab-frites.com/kebab/montathal-mohamed-paris-14.html","Montathal Mohamed","57 rue beaunier",75014.,"Paris 14","01 45 39 41 41",5.8,2.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.70€ ",6.,5.,5.,6.,6.,6.,5.,6.,5.,6.,2.326305,48.824593,0.882809749216301
