"Source","Enseigne","Adresse_postale","Code_postal","Commune","Telephone","Note_globale","Nombre_d_avis","Horaires_lundi","Horaires_mardi","Horaires_mercredi","Horaires_jeudi","Horaires_vendredi","Horaires_samedi","Horaires_dimanche","Prestations_Boissons","Prestations_Burgers","Prestations_Desserts","Prestations_Grillades","Prestations_Kebab","Prestations_Lahmacun/Pide","Prestations_Pizzas","Prestations_Plats/Assiettes","Prestations_Salades","Prestations_Sandwichs","Services_Accès_handicapés","Services_Broche_faite_Maison","Services_Carte_de_fidélité","Services_Certificat_halal","Services_Frîtes_fraiches_Maison","Services_Groupes_acceptés","Services_Menu_enfant","Services_Pain_fait_Maison","Services_Parking","Services_Réduction_étudiants","Services_Restauration_à_emporter","Services_Restauration_sur_place","Services_Salle_avec_télévision","Services_Salle_climatisée","Services_Service_de_livraison","Services_Terrasse","Services_Thé_offert","Services_Wifi_gratuit","Tarifs","Note_Accueil","Note_Hygiene","Note_Fraicheur","Note_Crudites","Note_Sauces","Note_Viandes","Note_Frites","Note_Pain","Note_Quantite","Note_Qualiteprix"
"https://www.kebab-frites.com/kebab/berliner-das-original-paris-la-defense.html","Berliner Das Original","15 Parvis De La Défense","92092","Paris La Défense","09 83 04 70 64","0","0","n.c","n.c","n.c","n.c","n.c","n.c","n.c","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","Aucun tarif renseigné. ","0","0","0","0","0","0","0","0","0","0"
"https://www.kebab-frites.com/kebab/nabab-kebab-paris-01.html","Nabab Kebab","72 rue de Rambuteau","75001","Paris 01","","4.7","23","n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Aucun tarif renseigné. ","4","4","4","4","5","4","4","4","4","5"
"https://www.kebab-frites.com/kebab/al-boustan-paris-01.html","Al Boustan","21 Rue Montorgueil","75001","Paris 01","01 40 41 02 40","4.2","7","11h00-00h00 ","11h00-00h00 ","11h00-00h00 ","11h00-00h00 ","11h00-00h00 ","11h00-00h00 ","Fermé","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.00€ ","3","4","3","4","4","4","3","4","3","4"
"https://www.kebab-frites.com/kebab/cartage-ii-paris-01.html","Cartage II","35 Rue Saint Denis","75001","Paris 01","01 40 26 96 25","4.4","5","n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.50€ ","4","3","3","4","4","5","4","4","4","4"
"https://www.kebab-frites.com/kebab/pita-kabab-paris-01.html","Pita Kabab","72 Rue Saint-Denis","75001","Paris 01","","5.2","2","n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Aucun tarif renseigné. ","4","4","5","6","5","5","5","5","5","5"
"https://www.kebab-frites.com/kebab/marmaris-paris-01.html","Marmaris","17 rue Saint Denis","75001","Paris 01","01 45 08 09 13","3.6","5","11h00-05h00 ","11h00-05h00 ","11h00-05h00 ","11h00-05h00 ","11h00-05h00 ","11h00-05h00 ","Fermé","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.00€ ","3","3","4","4","2","3","3","3","3","3"
"https://www.kebab-frites.com/kebab/le-bosphore-paris-01.html","Le Bosphore","82 Rue Saint-Denis","75001","Paris 01","","4.4","2","n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","Aucun tarif renseigné. ","4","4","5","5","3","4","3","4","4","4"
"https://www.kebab-frites.com/kebab/chez-alexandre-paris-01.html","Chez Alexandre","16 rue du Louvre","75001","Paris 01","01 42 92 04 15","4.4","1","n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Aucun tarif renseigné. ","5","3","5","6","4","4","3","5","4","5"
"https://www.kebab-frites.com/kebab/restaurant-zam-zam-paris-01.html","Restaurant Zam Zam","70 Rue Rambuteau","75001","Paris 01","01 42 21 18 26","3.3","3","n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","Aucun tarif renseigné. ","3","3","4","2","2","3","3","3","2","3"
"https://www.kebab-frites.com/kebab/delices-des-halles-paris-01.html","Délices des Halles","107 Rue Saint-Denis","75001","Paris 01","","4","1","n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","OUI","NON","NON","NON","Kebab Kebab + Frites + Boisson 5.00€ ","4","4","4","4","4","4","4","4","4","4"
